  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  5.7000e-13          202.10383683    758067683.27416039       10667.36180860            0.00000000        10667.36180860 
  5.7500e-13          203.13426495    805352052.95443690       10721.74944292            0.00000000        10721.74944292 
  5.8000e-13          204.15082270    825473123.63423729       10775.40497756            0.00000000        10775.40497756 
  5.8500e-13          205.15053485   1624442857.91387081       10828.17137401            0.00000000        10828.17137401 
  5.9000e-13          206.10192829   1027849374.26886714       10878.38743202            0.00000000        10878.38743202 
  5.9500e-13          207.02813302    811692783.33736670       10927.27399038            0.00000000        10927.27399038 
  6.0000e-13          207.93915151   1079641967.28235841       10975.35899455            0.00000000        10975.35899455 
  6.0500e-13          208.82413711   1023963767.93919492       11022.06994151            0.00000000        11022.06994151 
  6.1000e-13          209.68411221   1097793011.38579249       11067.46079417            0.00000000        11067.46079417 
  6.1500e-13          210.51528017   1006643708.48113739       11111.33116047            0.00000000        11111.33116047 
  6.2000e-13          211.32370499   1739882542.70552874       11154.00110780            0.00000000        11154.00110780 
  6.2500e-13          212.07979127   1075998762.89748335       11193.90854386            0.00000000        11193.90854386 
  6.3000e-13          212.80988691   1009086373.77424085       11232.44415243            0.00000000        11232.44415243 
  6.3500e-13          213.51664639   1468711151.12358356       11269.74804143            0.00000000        11269.74804143 
  6.4000e-13          214.18217337   1336322231.82684851       11304.87561340            0.00000000        11304.87561340 
  6.4500e-13          214.81171750   1066095647.35843003       11338.10395324            0.00000000        11338.10395324 
  6.5000e-13          215.41627333   1160192753.16803908       11370.01337121            0.00000000        11370.01337121 
  6.5500e-13          215.98957211    534692039.17746693       11400.27299213            0.00000000        11400.27299213 
  6.6000e-13          216.55910253   1007225728.06678331       11430.33371305            0.00000000        11430.33371305 
  6.6500e-13          217.10537461   1352447803.42005992       11459.16682183            0.00000000        11459.16682183 
  6.7000e-13          217.61334854    993862653.84864461       11485.97849356            0.00000000        11485.97849356 
  6.7500e-13          218.09965998    962512112.92162228       11511.64678440            0.00000000        11511.64678440 
  6.8000e-13          218.56238174   1219853164.81752539       11536.06997491            0.00000000        11536.06997491 
  6.8500e-13          218.99198289    791013073.10620832       11558.74500632            0.00000000        11558.74500632 
  6.9000e-13          219.40827519    673569626.77461207       11580.71757580            0.00000000        11580.71757580 
  6.9500e-13          219.81470751    666162207.71119559       11602.16971950            0.00000000        11602.16971950 
  7.0000e-13          220.21227702    774376084.69163072       11623.15407068            0.00000000        11623.15407068 
  7.0500e-13          220.59294854    995913351.39335513       11643.24651850            0.00000000        11643.24651850 
  7.1000e-13          220.95175251   1007260201.25402737       11662.18476262            0.00000000        11662.18476262 
  7.1500e-13          221.28723747    958380960.14969981       11679.89219202            0.00000000        11679.89219202 
  7.2000e-13          221.59981425   1013623213.08667803       11696.39049138            0.00000000        11696.39049138 
  7.2500e-13          221.88831273   1071756856.15054166       11711.61789964            0.00000000        11711.61789964 
  7.3000e-13          222.15111123   1284574607.68262506       11725.48882261            0.00000000        11725.48882261 
  7.3500e-13          222.37865963   1074453478.27053905       11737.49918853            0.00000000        11737.49918853 
  7.4000e-13          222.58031236   1134134699.03152251       11748.14274059            0.00000000        11748.14274059 
  7.4500e-13          222.75421694    530719918.84954834       11757.32170063            0.00000000        11757.32170063 
  7.5000e-13          222.92501336    886747709.93955362       11766.33660696            0.00000000        11766.33660696 
  7.5500e-13          223.07663920    808202248.59819591       11774.33966019            0.00000000        11774.33966019 
  7.6000e-13          223.21326091   1063887696.45958638       11781.55077096            0.00000000        11781.55077096 
  7.6500e-13          223.32550451    866451689.89881623       11787.47516653            0.00000000        11787.47516653 
  7.7000e-13          223.42104781    605771358.09783816       11792.51809419            0.00000000        11792.51809419 
  7.7500e-13          223.50990205    401408195.44918752       11797.20796226            0.00000000        11797.20796226 
  7.8000e-13          223.60066164   1011499209.11416185       11801.99839749            0.00000000        11801.99839749 
  7.8500e-13          223.66807677    804598010.51431370       11805.55667554            0.00000000        11805.55667554 
  7.9000e-13          223.72115526    870184764.65131211       11808.35824258            0.00000000        11808.35824258 
  7.9500e-13          223.75741719   1070342882.75959313       11810.27220491            0.00000000        11810.27220491 
  8.0000e-13          223.76894944    476988933.46471125       11810.88089516            0.00000000        11810.88089516 
  8.0500e-13          223.77886190    601718138.63640749       11811.40409062            0.00000000        11811.40409062 
  8.1000e-13          223.78287563    683603351.71381974       11811.61594176            0.00000000        11811.61594176 
  8.1500e-13          223.77662756   1101666488.84518194       11811.28615843            0.00000000        11811.28615843 
  8.2000e-13          223.74231196    543866017.30616248       11809.47492657            0.00000000        11809.47492657 
  8.2500e-13          223.70384633    736255513.91232920       11807.44464966            0.00000000        11807.44464966 
  8.3000e-13          223.65427044    332722388.36092448       11804.82795526            0.00000000        11804.82795526 
  8.3500e-13          223.60973826    804764072.06888950       11802.47747611            0.00000000        11802.47747611 
  8.4000e-13          223.55142415    879678399.80485737       11799.39956447            0.00000000        11799.39956447 
  8.4500e-13          223.47586751    539984358.84238625       11795.41156473            0.00000000        11795.41156473 
  8.5000e-13          223.39680103    807520546.20263207       11791.23831064            0.00000000        11791.23831064 
  8.5500e-13          223.30381424    676047825.12259126       11786.33032007            0.00000000        11786.33032007 
  8.6000e-13          223.20195899    733568714.00215542       11780.95423779            0.00000000        11780.95423779 
  8.6500e-13          223.08968852    343233076.47960752       11775.02842406            0.00000000        11775.02842406 
  8.7000e-13          222.98151598    625598960.21277535       11769.31890510            0.00000000        11769.31890510 
  8.7500e-13          222.86543861    760832772.91139269       11763.19215717            0.00000000        11763.19215717 
  8.8000e-13          222.73615016    679326767.62784505       11756.36810705            0.00000000        11756.36810705 
  8.8500e-13          222.59792416    814749121.65083218       11749.07231932            0.00000000        11749.07231932 
  8.9000e-13          222.44546152    555259045.78307140       11741.02509885            0.00000000        11741.02509885 
  8.9500e-13          222.28830602    547241986.63042462       11732.73018148            0.00000000        11732.73018148 
  9.0000e-13          222.12734713    782265057.79267180       11724.23451527            0.00000000        11724.23451527 
  9.0500e-13          221.95120608    744420386.65685594       11714.93751087            0.00000000        11714.93751087 
  9.1000e-13          221.76407890    347488010.74259925       11705.06064057            0.00000000        11705.06064057 
  9.1500e-13          221.58083861    416329436.47223401       11695.38892675            0.00000000        11695.38892675 
  9.2000e-13          221.39877741    406561704.63832951       11685.77944762            0.00000000        11685.77944762 
  9.2500e-13          221.21896046    550789121.15272927       11676.28842278            0.00000000        11676.28842278 
  9.3000e-13          221.03525465            0.00000000       11666.59213801            0.00000000        11666.59213801 
  9.3500e-13          220.86958236    416464128.58215088       11657.84769112            0.00000000        11657.84769112 
  9.4000e-13          220.70524011    410499025.53251892       11649.17344625            0.00000000        11649.17344625 
  9.4500e-13          220.54295517    486707784.98250097       11640.60778914            0.00000000        11640.60778914 
  9.5000e-13          220.37923058    420557630.25613189       11631.96614465            0.00000000        11631.96614465 
  9.5500e-13          220.21657800    547783774.40961087       11623.38108298            0.00000000        11623.38108298 
  9.6000e-13          220.05074777    420915768.08637673       11614.62829999            0.00000000        11614.62829999 
  9.6500e-13          219.88602081    207015606.30562413       11605.93374894            0.00000000        11605.93374894 
  9.7000e-13          219.73123277    206577773.86051926       11597.76379027            0.00000000        11597.76379027 
  9.7500e-13          219.58647161    576417900.75720823       11590.12306618            0.00000000        11590.12306618 
  9.8000e-13          219.43565353    215813048.04366770       11582.16264821            0.00000000        11582.16264821 
  9.8500e-13          219.29391574    216290207.95422900       11574.68150208            0.00000000        11574.68150208 
  9.9000e-13          219.16124315    347501587.52959746       11567.67883219            0.00000000        11567.67883219 
  9.9500e-13          219.03305741     69501122.09237848       11560.91298463            0.00000000        11560.91298463 
  1.0000e-12          218.92020969    138900434.93095127       11554.95670265            0.00000000        11554.95670265 
